feature_id,geometry_type,coordinates,geometry_format
way/765324341,LineString,"[[37.4952081, 55.7116547], [37.495059, 55.7116884], [37.4949709, 55.7117083], [37.4948279, 55.7117406], [37.4942201, 55.7118778], [37.4940894, 55.7119073]]","LINESTRING(55.7116547 37.4952081,55.7116884 37.495059,55.7117083 37.4949709,55.7117406 37.4948279,55.7118778 37.4942201,55.7119073 37.4940894)"
way/765324342,LineString,"[[37.4918306, 55.7090859], [37.4926579, 55.7098555], [37.4942201, 55.7118778], [37.4943183, 55.7120551], [37.4943416, 55.7120894], [37.4947332, 55.7126641], [37.4950022, 55.7130589], [37.4952904, 55.7136489], [37.4954045, 55.7145109], [37.4953696, 55.7153132], [37.4951683, 55.7161171]]","LINESTRING(55.7090859 37.4918306,55.7098555 37.4926579,55.7118778 37.4942201,55.7120551 37.4943183,55.7120894 37.4943416,55.7126641 37.4947332,55.7130589 37.4950022,55.7136489 37.4952904,55.7145109 37.4954045,55.7153132 37.4953696,55.7161171 37.4951683)"
way/765326318,LineString,"[[37.4948786, 55.7161097], [37.4948332, 55.7153752], [37.4947822, 55.714931], [37.4945167, 55.7139066], [37.4944335, 55.7136421], [37.4943504, 55.7134625], [37.4942619, 55.7133143], [37.4941546, 55.7131677]]","LINESTRING(55.7161097 37.4948786,55.7153752 37.4948332,55.714931 37.4947822,55.7139066 37.4945167,55.7136421 37.4944335,55.7134625 37.4943504,55.7133143 37.4942619,55.7131677 37.4941546)"
way/765381716,LineString,"[[37.5872497, 55.793787], [37.5872779, 55.7937968], [37.5873103, 55.7938018], [37.5873439, 55.7938033], [37.5873751, 55.7938021], [37.587407, 55.7937954]]","LINESTRING(55.793787 37.5872497,55.7937968 37.5872779,55.7938018 37.5873103,55.7938033 37.5873439,55.7938021 37.5873751,55.7937954 37.587407)"
way/765431425,LineString,"[[37.6467861, 55.7701526], [37.6465845, 55.7700028], [37.6464893, 55.7699228], [37.6464061, 55.7698316], [37.6463383, 55.7697446], [37.6462514, 55.7696307]]","LINESTRING(55.7701526 37.6467861,55.7700028 37.6465845,55.7699228 37.6464893,55.7698316 37.6464061,55.7697446 37.6463383,55.7696307 37.6462514)"
way/765481200,LineString,"[[37.4066709, 55.6179061], [37.4066233, 55.6177215], [37.4065575, 55.6172032], [37.4065413, 55.6170035], [37.4065117, 55.6166377], [37.4065068, 55.6165388], [37.4064933, 55.6162669]]","LINESTRING(55.6179061 37.4066709,55.6177215 37.4066233,55.6172032 37.4065575,55.6170035 37.4065413,55.6166377 37.4065117,55.6165388 37.4065068,55.6162669 37.4064933)"
way/765489507,LineString,"[[37.5868716, 55.793589], [37.586943, 55.7936244]]","LINESTRING(55.793589 37.5868716,55.7936244 37.586943)"
way/765513226,LineString,"[[37.6283052, 55.668813], [37.6284252, 55.6686605]]","LINESTRING(55.668813 37.6283052,55.6686605 37.6284252)"
way/765513227,LineString,"[[37.6329744, 55.6842494], [37.6321775, 55.6845388]]","LINESTRING(55.6842494 37.6329744,55.6845388 37.6321775)"
way/765645161,LineString,"[[37.4940894, 55.7119073], [37.4942484, 55.7119913], [37.4943183, 55.7120551]]","LINESTRING(55.7119073 37.4940894,55.7119913 37.4942484,55.7120551 37.4943183)"
way/765645163,LineString,"[[37.5046141, 55.723791], [37.5036353, 55.7236246], [37.5031587, 55.7235462], [37.5019973, 55.7233625], [37.5014636, 55.7232749], [37.5009996, 55.7231737], [37.5006375, 55.72308], [37.5002351, 55.7229547], [37.499582, 55.7227265], [37.4994925, 55.7226945], [37.4992803, 55.7226186], [37.4991823, 55.7225974], [37.4990952, 55.7225959], [37.4990188, 55.7226026], [37.4989249, 55.7226193], [37.4988338, 55.7226707]]","LINESTRING(55.723791 37.5046141,55.7236246 37.5036353,55.7235462 37.5031587,55.7233625 37.5019973,55.7232749 37.5014636,55.7231737 37.5009996,55.72308 37.5006375,55.7229547 37.5002351,55.7227265 37.499582,55.7226945 37.4994925,55.7226186 37.4992803,55.7225974 37.4991823,55.7225959 37.4990952,55.7226026 37.4990188,55.7226193 37.4989249,55.7226707 37.4988338)"
way/765944560,LineString,"[[37.1579307, 55.5793691], [37.1573433, 55.5793659], [37.1568075, 55.579363], [37.1562995, 55.5793616], [37.1562295, 55.5793614], [37.1560789, 55.579363], [37.1558118, 55.5793678], [37.1557552, 55.5793688], [37.1551808, 55.5793803], [37.154803, 55.5793878], [37.1541458, 55.5794045], [37.1529198, 55.5794357], [37.1527103, 55.579441], [37.1523688, 55.5794462], [37.15203, 55.5794513], [37.151892, 55.5794498], [37.1518715, 55.5794496], [37.1516893, 55.5794482], [37.1514969, 55.5794459], [37.1513768, 55.579446], [37.1512531, 55.5794442], [37.1512471, 55.5794441], [37.1510512, 55.5794407], [37.1508386, 55.5794378], [37.1506513, 55.5794321], [37.1505161, 55.5794287], [37.1503445, 55.5794194], [37.1501455, 55.5794059], [37.1500878, 55.579402], [37.1493045, 55.5793624], [37.1489868, 55.5793463], [37.1487838, 55.5793355], [37.1472805, 55.5792559], [37.1460748, 55.5791954], [37.1459471, 55.5791888], [37.1456049, 55.5791713], [37.1453907, 55.5791576], [37.1452551, 55.5791477], [37.1451009, 55.579133], [37.1449559, 55.5791159], [37.1448925, 55.5791084], [37.1448198, 55.5791001], [37.1447452, 55.5790901], [37.1445896, 55.5790629], [37.1436947, 55.5788959], [37.1431007, 55.5787881], [37.142401, 55.5786693], [37.1415513, 55.5785188], [37.1409342, 55.5784107], [37.1405245, 55.5783387], [37.140217, 55.5782832], [37.1373922, 55.5777795], [37.1364186, 55.5776059], [37.1356313, 55.5774655], [37.135397, 55.5774271], [37.1352858, 55.5774089], [37.1345771, 55.5772927], [37.1345224, 55.5772839], [37.1335719, 55.5771174]]","LINESTRING(55.5793691 37.1579307,55.5793659 37.1573433,55.579363 37.1568075,55.5793616 37.1562995,55.5793614 37.1562295,55.579363 37.1560789,55.5793678 37.1558118,55.5793688 37.1557552,55.5793803 37.1551808,55.5793878 37.154803,55.5794045 37.1541458,55.5794357 37.1529198,55.579441 37.1527103,55.5794462 37.1523688,55.5794513 37.15203,55.5794498 37.151892,55.5794496 37.1518715,55.5794482 37.1516893,55.5794459 37.1514969,55.579446 37.1513768,55.5794442 37.1512531,55.5794441 37.1512471,55.5794407 37.1510512,55.5794378 37.1508386,55.5794321 37.1506513,55.5794287 37.1505161,55.5794194 37.1503445,55.5794059 37.1501455,55.579402 37.1500878,55.5793624 37.1493045,55.5793463 37.1489868,55.5793355 37.1487838,55.5792559 37.1472805,55.5791954 37.1460748,55.5791888 37.1459471,55.5791713 37.1456049,55.5791576 37.1453907,55.5791477 37.1452551,55.579133 37.1451009,55.5791159 37.1449559,55.5791084 37.1448925,55.5791001 37.1448198,55.5790901 37.1447452,55.5790629 37.1445896,55.5788959 37.1436947,55.5787881 37.1431007,55.5786693 37.142401,55.5785188 37.1415513,55.5784107 37.1409342,55.5783387 37.1405245,55.5782832 37.140217,55.5777795 37.1373922,55.5776059 37.1364186,55.5774655 37.1356313,55.5774271 37.135397,55.5774089 37.1352858,55.5772927 37.1345771,55.5772839 37.1345224,55.5771174 37.1335719)"
way/765944561,LineString,"[[37.1612382, 55.5794287], [37.1600469, 55.5794044], [37.1594194, 55.5793916], [37.1586763, 55.5793798], [37.1579307, 55.5793691]]","LINESTRING(55.5794287 37.1612382,55.5794044 37.1600469,55.5793916 37.1594194,55.5793798 37.1586763,55.5793691 37.1579307)"
way/765944575,LineString,"[[37.1426532, 55.5712875], [37.1431039, 55.5710735], [37.1432753, 55.570996], [37.1436421, 55.5708246], [37.1436775, 55.570808], [37.1442191, 55.5705513], [37.1446134, 55.5703644]]","LINESTRING(55.5712875 37.1426532,55.5710735 37.1431039,55.570996 37.1432753,55.5708246 37.1436421,55.570808 37.1436775,55.5705513 37.1442191,55.5703644 37.1446134)"
way/766481370,LineString,"[[37.5601643, 55.5095025], [37.5601363, 55.5093683], [37.5600916, 55.5092279]]","LINESTRING(55.5095025 37.5601643,55.5093683 37.5601363,55.5092279 37.5600916)"
way/766481371,LineString,"[[37.5607634, 55.5111374], [37.5608094, 55.5112267], [37.5610147, 55.5116255]]","LINESTRING(55.5111374 37.5607634,55.5112267 37.5608094,55.5116255 37.5610147)"
way/766493702,LineString,"[[37.5140019, 55.8091617], [37.5151225, 55.810391]]","LINESTRING(55.8091617 37.5140019,55.810391 37.5151225)"
way/766569234,LineString,"[[37.4569447, 55.8137825], [37.4568899, 55.8137192], [37.4568528, 55.8136766], [37.4565533, 55.8133324], [37.4564651, 55.8132311], [37.4563664, 55.8131177], [37.4563085, 55.813052], [37.4561384, 55.8128596], [37.4560474, 55.8127567], [37.4556866, 55.8123486], [37.4551927, 55.8117836], [37.4550265, 55.8116201], [37.4549568, 55.8115598], [37.4549077, 55.8115321]]","LINESTRING(55.8137825 37.4569447,55.8137192 37.4568899,55.8136766 37.4568528,55.8133324 37.4565533,55.8132311 37.4564651,55.8131177 37.4563664,55.813052 37.4563085,55.8128596 37.4561384,55.8127567 37.4560474,55.8123486 37.4556866,55.8117836 37.4551927,55.8116201 37.4550265,55.8115598 37.4549568,55.8115321 37.4549077)"
way/766569235,LineString,"[[37.4596229, 55.816808], [37.4595787, 55.8167578], [37.4593849, 55.8165365], [37.4592246, 55.8163535], [37.4588836, 55.8159645], [37.4584866, 55.8155115], [37.4581099, 55.8150817], [37.4570798, 55.8139392], [37.4570389, 55.8138917], [37.4569447, 55.8137825]]","LINESTRING(55.816808 37.4596229,55.8167578 37.4595787,55.8165365 37.4593849,55.8163535 37.4592246,55.8159645 37.4588836,55.8155115 37.4584866,55.8150817 37.4581099,55.8139392 37.4570798,55.8138917 37.4570389,55.8137825 37.4569447)"
way/766679956,LineString,"[[37.538456, 55.7375427], [37.5382635, 55.7377044], [37.5375778, 55.7382329], [37.5374989, 55.7383079], [37.5372298, 55.7386094], [37.5371061, 55.7387229], [37.5369466, 55.7388429], [37.5367257, 55.7389656], [37.5364528, 55.7390829], [37.5363094, 55.7391352], [37.5362036, 55.7391895], [37.5361244, 55.7392484], [37.5360505, 55.7393175], [37.5358047, 55.7395222]]","LINESTRING(55.7375427 37.538456,55.7377044 37.5382635,55.7382329 37.5375778,55.7383079 37.5374989,55.7386094 37.5372298,55.7387229 37.5371061,55.7388429 37.5369466,55.7389656 37.5367257,55.7390829 37.5364528,55.7391352 37.5363094,55.7391895 37.5362036,55.7392484 37.5361244,55.7393175 37.5360505,55.7395222 37.5358047)"
way/766710798,LineString,"[[37.5676632, 55.4876658], [37.5677487, 55.4879724]]","LINESTRING(55.4876658 37.5676632,55.4879724 37.5677487)"
way/766710799,LineString,"[[37.5670593, 55.4863136], [37.5675026, 55.4877512]]","LINESTRING(55.4863136 37.5670593,55.4877512 37.5675026)"
way/766710801,LineString,"[[37.5683777, 55.4910956], [37.5683582, 55.491059]]","LINESTRING(55.4910956 37.5683777,55.491059 37.5683582)"
way/766710802,LineString,"[[37.5683777, 55.4910956], [37.5681814, 55.4911184], [37.5675299, 55.4911993], [37.5670087, 55.491263]]","LINESTRING(55.4910956 37.5683777,55.4911184 37.5681814,55.4911993 37.5675299,55.491263 37.5670087)"
way/766710803,LineString,"[[37.5685884, 55.4910751], [37.5688695, 55.4920015], [37.5691253, 55.4930656], [37.5693949, 55.4938872], [37.569483, 55.4941558], [37.569618, 55.4945941]]","LINESTRING(55.4910751 37.5685884,55.4920015 37.5688695,55.4930656 37.5691253,55.4938872 37.5693949,55.4941558 37.569483,55.4945941 37.569618)"
way/766710804,LineString,"[[37.5683582, 55.491059], [37.5681576, 55.4906911], [37.5681333, 55.4906466], [37.5677918, 55.489737], [37.5673845, 55.4884643], [37.5672431, 55.4880225], [37.5671, 55.4875935]]","LINESTRING(55.491059 37.5683582,55.4906911 37.5681576,55.4906466 37.5681333,55.489737 37.5677918,55.4884643 37.5673845,55.4880225 37.5672431,55.4875935 37.5671)"
way/766710811,LineString,"[[37.5677188, 55.4889621], [37.5673439, 55.4877574]]","LINESTRING(55.4889621 37.5677188,55.4877574 37.5673439)"
way/766710812,LineString,"[[37.5685579, 55.4909765], [37.5685884, 55.4910751]]","LINESTRING(55.4909765 37.5685579,55.4910751 37.5685884)"
way/766710822,LineString,"[[37.5676632, 55.4876658], [37.5678152, 55.4876867], [37.5680038, 55.4876949], [37.568261, 55.4876943], [37.5686288, 55.4876732], [37.5697121, 55.4875571], [37.5703451, 55.4874876], [37.5705078, 55.4874611], [37.5716148, 55.4873459], [37.5732576, 55.487193], [37.5743818, 55.4870944], [37.5749442, 55.4870451], [37.5750124, 55.4870378], [37.575476, 55.4869884], [37.5768203, 55.486845], [37.5776155, 55.4868651], [37.5784872, 55.4867358], [37.5786188, 55.4866306], [37.5782976, 55.4856064], [37.5780421, 55.4848344], [37.5777828, 55.4839659], [37.5777093, 55.4835514], [37.5774267, 55.4834198], [37.5772177, 55.4833759], [37.5760328, 55.4835198]]","LINESTRING(55.4876658 37.5676632,55.4876867 37.5678152,55.4876949 37.5680038,55.4876943 37.568261,55.4876732 37.5686288,55.4875571 37.5697121,55.4874876 37.5703451,55.4874611 37.5705078,55.4873459 37.5716148,55.487193 37.5732576,55.4870944 37.5743818,55.4870451 37.5749442,55.4870378 37.5750124,55.4869884 37.575476,55.486845 37.5768203,55.4868651 37.5776155,55.4867358 37.5784872,55.4866306 37.5786188,55.4856064 37.5782976,55.4848344 37.5780421,55.4839659 37.5777828,55.4835514 37.5777093,55.4834198 37.5774267,55.4833759 37.5772177,55.4835198 37.5760328)"
way/766867556,LineString,"[[37.5913143, 55.7735661], [37.5911994, 55.7736355], [37.5902906, 55.7741582], [37.5901324, 55.7742492]]","LINESTRING(55.7735661 37.5913143,55.7736355 37.5911994,55.7741582 37.5902906,55.7742492 37.5901324)"
way/767167331,LineString,"[[37.3456622, 55.8397331], [37.3456968, 55.8397447], [37.34572, 55.8397593], [37.3457302, 55.8397762], [37.3457331, 55.8398007], [37.3457245, 55.8398219], [37.3457037, 55.8398399], [37.3456717, 55.8398504], [37.3456303, 55.8398568], [37.3455757, 55.8398522]]","LINESTRING(55.8397331 37.3456622,55.8397447 37.3456968,55.8397593 37.34572,55.8397762 37.3457302,55.8398007 37.3457331,55.8398219 37.3457245,55.8398399 37.3457037,55.8398504 37.3456717,55.8398568 37.3456303,55.8398522 37.3455757)"
way/767367218,LineString,"[[37.7875355, 55.718254], [37.7864674, 55.7184283]]","LINESTRING(55.718254 37.7875355,55.7184283 37.7864674)"
way/767367273,LineString,"[[37.7876835, 55.7178204], [37.7879885, 55.7177696], [37.7883385, 55.7177112]]","LINESTRING(55.7178204 37.7876835,55.7177696 37.7879885,55.7177112 37.7883385)"
way/767367734,LineString,"[[37.7864674, 55.7184283], [37.7854122, 55.7186005], [37.7846084, 55.7187316]]","LINESTRING(55.7184283 37.7864674,55.7186005 37.7854122,55.7187316 37.7846084)"
way/767383172,LineString,"[[37.45778, 55.8066992], [37.4576359, 55.8066075]]","LINESTRING(55.8066992 37.45778,55.8066075 37.4576359)"
way/768587331,LineString,"[[37.4111331, 55.812297], [37.4115051, 55.8120356], [37.4127719, 55.8112156], [37.4133304, 55.8108844], [37.4133758, 55.8108575]]","LINESTRING(55.812297 37.4111331,55.8120356 37.4115051,55.8112156 37.4127719,55.8108844 37.4133304,55.8108575 37.4133758)"
way/768587333,LineString,"[[37.4084597, 55.8141891], [37.4086034, 55.8140879], [37.408667, 55.8140371]]","LINESTRING(55.8141891 37.4084597,55.8140879 37.4086034,55.8140371 37.408667)"
way/768587334,LineString,"[[37.4144995, 55.8102158], [37.4145767, 55.8101777], [37.4146853, 55.8101289], [37.4147031, 55.8101209], [37.4148329, 55.8100652], [37.4149573, 55.8100185], [37.4159565, 55.8096506], [37.4168762, 55.809281]]","LINESTRING(55.8102158 37.4144995,55.8101777 37.4145767,55.8101289 37.4146853,55.8101209 37.4147031,55.8100652 37.4148329,55.8100185 37.4149573,55.8096506 37.4159565,55.809281 37.4168762)"
