feature_id,geometry_type,coordinates,geometry_format
way/1118934869,LineString,"[[30.4313693, 59.9599792], [30.431302, 59.9599766]]",
way/1118934870,LineString,"[[30.4283497, 59.9676394], [30.4284681, 59.9675744], [30.4290557, 59.9672515], [30.4297077, 59.9668933], [30.4299499, 59.9667602], [30.4300768, 59.9666956], [30.430337, 59.9665629], [30.4305416, 59.966444], [30.4307053, 59.9663239], [30.4309352, 59.9661219], [30.4310214, 59.9660241], [30.4311013, 59.9658944], [30.431122, 59.9658609], [30.4311664, 59.9657667], [30.4311937, 59.965661], [30.4312023, 59.9655525], [30.4311968, 59.9642578], [30.4311962, 59.9641829], [30.4311918, 59.9632099], [30.431201, 59.9621354], [30.4312013, 59.9620974], [30.4312076, 59.9613565], [30.431211, 59.9609524], [30.4312177, 59.9601697], [30.4312181, 59.9601266], [30.4312416, 59.9599738]]","LINESTRING(59.9676394 30.4283497,59.9675744 30.4284681,59.9672515 30.4290557,59.9668933 30.4297077,59.9667602 30.4299499,59.9666956 30.4300768,59.9665629 30.430337,59.966444 30.4305416,59.9663239 30.4307053,59.9661219 30.4309352,59.9660241 30.4310214,59.9658944 30.4311013,59.9658609 30.431122,59.9657667 30.4311664,59.965661 30.4311937,59.9655525 30.4312023,59.9642578 30.4311968,59.9641829 30.4311962,59.9632099 30.4311918,59.9621354 30.431201,59.9620974 30.4312013,59.9613565 30.4312076,59.9609524 30.431211,59.9601697 30.4312177,59.9601266 30.4312181,59.9599738 30.4312416)"
way/1118943249,LineString,"[[30.3977368, 59.9715913], [30.3972812, 59.9716939]]",
way/1118943250,LineString,"[[30.3972285, 59.971638], [30.3976845, 59.9715331]]",
way/1118943251,LineString,"[[30.3976845, 59.9715331], [30.3978629, 59.9714911], [30.3981415, 59.9714255], [30.3985741, 59.9713236], [30.4004676, 59.9708776], [30.4005798, 59.9708507], [30.4011031, 59.9707268], [30.4014924, 59.9706346], [30.4015573, 59.9706187], [30.4023576, 59.9704324], [30.4029384, 59.9702956], [30.4033093, 59.9702082], [30.4035085, 59.9701613], [30.40426, 59.9699842], [30.4043922, 59.9699531], [30.406076, 59.9695565], [30.4061441, 59.9695402], [30.4086685, 59.9689459], [30.4091983, 59.9688211]]","LINESTRING(59.9715331 30.3976845,59.9714911 30.3978629,59.9714255 30.3981415,59.9713236 30.3985741,59.9708776 30.4004676,59.9708507 30.4005798,59.9707268 30.4011031,59.9706346 30.4014924,59.9706187 30.4015573,59.9704324 30.4023576,59.9702956 30.4029384,59.9702082 30.4033093,59.9701613 30.4035085,59.9699842 30.40426,59.9699531 30.4043922,59.9695565 30.406076,59.9695402 30.4061441,59.9689459 30.4086685,59.9688211 30.4091983)"
way/1118943252,LineString,"[[30.4092526, 59.9688788], [30.408959, 59.968948], [30.4061984, 59.9695979], [30.4061303, 59.9696143], [30.4044465, 59.9700109], [30.4043142, 59.970042], [30.4035628, 59.970219], [30.4033636, 59.9702659], [30.4024119, 59.9704901], [30.4022036, 59.9705392], [30.4016131, 59.9706759], [30.4015467, 59.9706917], [30.4011574, 59.9707845], [30.4006341, 59.9709084], [30.4005219, 59.9709353], [30.3986284, 59.9713813], [30.3980284, 59.9715226], [30.3979172, 59.9715488], [30.3977368, 59.9715913]]","LINESTRING(59.9688788 30.4092526,59.968948 30.408959,59.9695979 30.4061984,59.9696143 30.4061303,59.9700109 30.4044465,59.970042 30.4043142,59.970219 30.4035628,59.9702659 30.4033636,59.9704901 30.4024119,59.9705392 30.4022036,59.9706759 30.4016131,59.9706917 30.4015467,59.9707845 30.4011574,59.9709084 30.4006341,59.9709353 30.4005219,59.9713813 30.3986284,59.9715226 30.3980284,59.9715488 30.3979172,59.9715913 30.3977368)"
way/1118943255,LineString,"[[30.4099731, 59.9687248], [30.4092526, 59.9688788]]",
way/1118943256,LineString,"[[30.4091983, 59.9688211], [30.4099206, 59.968628]]",
way/1118943258,LineString,"[[30.3970659, 59.9717169], [30.3972285, 59.971638]]",
way/1118943259,LineString,"[[30.3972812, 59.9716939], [30.3970659, 59.9717169]]",
way/1118944222,LineString,"[[30.4127333, 59.9616663], [30.412698, 59.9616368], [30.4126526, 59.9615988], [30.4126132, 59.9615658]]","LINESTRING(59.9616663 30.4127333,59.9616368 30.412698,59.9615988 30.4126526,59.9615658 30.4126132)"
way/1118944223,LineString,"[[30.4126132, 59.9615658], [30.4126849, 59.9615821], [30.4127653, 59.9616004], [30.4128303, 59.9616152]]","LINESTRING(59.9615658 30.4126132,59.9615821 30.4126849,59.9616004 30.4127653,59.9616152 30.4128303)"
way/1118944224,LineString,"[[30.426899, 59.9684293], [30.4269259, 59.9685214]]",
way/1118946950,LineString,"[[30.4233003, 59.9704329], [30.4245692, 59.9697327], [30.4252024, 59.9693835], [30.4253238, 59.9693165]]","LINESTRING(59.9704329 30.4233003,59.9697327 30.4245692,59.9693835 30.4252024,59.9693165 30.4253238)"
way/1118946951,LineString,"[[30.4237609, 59.9702681], [30.4233033, 59.9705151], [30.4232058, 59.9705684], [30.4229327, 59.9707209]]","LINESTRING(59.9702681 30.4237609,59.9705151 30.4233033,59.9705684 30.4232058,59.9707209 30.4229327)"
way/1119014054,LineString,"[[30.2568159, 60.0190972], [30.2566752, 60.0187686]]",
