id,city_id,coords,area,quality,population
1713694,3,"POLYGON((29.8285873 59.876571,29.8285345 59.8765801,29.8284924 59.8765897,29.8284958 59.8765984,29.8283353 59.876629,29.8282378 59.8765376,29.8276341 59.8766079,29.827565 59.8766079,29.8275013 59.8766032,29.8271439 59.8765251,29.8267617 59.876446,29.8262937 59.8763407,29.8261577 59.8763031,29.8261278 59.876321,29.826079 59.8763005,29.8260235 59.8762771,29.8260491 59.8762618,29.8259832 59.8762333,29.8257579 59.876127,29.8255601 59.87603,29.8252543 59.8758581,29.8251048 59.8757618,29.8247018 59.8752954,29.8244584 59.8749999,29.8244148 59.8742383,29.8244262 59.8742144,29.8248594 59.8736419,29.8256861 59.8728776,29.8257338 59.8728524,29.8266162 59.8725733,29.8268509 59.8724973,29.8269119 59.8724879,29.8269602 59.8724868,29.827329 59.8725104,29.8280295 59.8725503,29.8281544 59.8725986,29.8288907 59.8729401,29.8293061 59.8730083,29.8292952 59.8731376,29.8296625 59.8732953,29.8300313 59.8734646,29.831135 59.8739734,29.8311552 59.8739852,29.8311619 59.8740051,29.8312433 59.8755706,29.8315302 59.8758805,29.8301737 59.8762189,29.8301899 59.8762361,29.830075 59.8762632,29.8300226 59.8762756,29.8299636 59.8762895,29.829949 59.8762738,29.8288733 59.8765157,29.8288646 59.8765089,29.8288317 59.8765158,29.8287328 59.8765404,29.8287382 59.8765464,29.8286741 59.876559,29.8286859 59.8765733,29.8286035 59.8765905,29.8285873 59.876571))",134055.54259741586,,5424
1759123,3,"POLYGON((30.4370373 59.6889668,30.4370736 59.6889644,30.4371138 59.6889367,30.4374634 59.6889115,30.4375002 59.6889088,30.4375427 59.6889059,30.4380171 59.6888738,30.438182 59.6888616,30.4383254 59.6888487,30.4384589 59.6888338,30.4385849 59.6888182,30.4388839 59.6892749,30.4388867 59.6892792,30.4389435 59.6893665,30.4389467 59.6893707,30.4389533 59.6893793,30.4387768 59.6894091,30.4383925 59.6894699,30.4383622 59.6894747,30.4373083 59.6896203,30.4368674 59.6896812,30.4366128 59.6889954,30.4366882 59.6889898,30.4370373 59.6889668))",8466.275416794699,,210
1782427,3,"POLYGON((30.4513761 60.0038396,30.4527549 60.0034603,30.4531904 60.0035123,30.4541436 60.0032875,30.4537323 60.0034225,30.4538602 60.0035484,30.4541564 60.0038401,30.4543365 60.0040174,30.4546268 60.0043371,30.4548418 60.0045755,30.4551138 60.0047607,30.451981 60.0057346,30.4511548 60.0049809,30.4500863 60.0052648,30.4495928 60.0053922,30.448645 60.0055495,30.4456571 60.00273,30.445684 60.0026448,30.4458445 60.0025568,30.4481312 60.0017932,30.4484039 60.0020634,30.4496714 60.0033177,30.4499348 60.0032564,30.450473 60.0038128,30.4511587 60.0036449,30.4513761 60.0038396))",104968.08078281397,,1991
1800610,3,"POLYGON((30.3005214 59.9161384,30.3005172 59.9162128,30.3005137 59.9162551,30.3005111 59.9162856,30.3005064 59.9163411,30.3004504 59.9164028,30.3004001 59.9164555,30.3003362 59.9165226,30.3001877 59.9166774,30.2998726 59.9170043,30.299841 59.9170359,30.2998318 59.9170449,30.2979353 59.9165928,30.2980649 59.9164583,30.297581 59.9163444,30.2975939 59.9160567,30.2975674 59.9160412,30.2976221 59.916019,30.2976486 59.9160312,30.2995097 59.9160612,30.3005239 59.9160825,30.3005229 59.9160918,30.3005214 59.9161384))",12403.18849468755,,515
1801824,3,"POLYGON((29.7745949 59.9879551,29.7746967 59.9880819,29.7748328 59.9881444,29.7750926 59.9881278,29.7752382 59.9882844,29.7753122 59.9883078,29.7758498 59.9884776,29.7761683 59.9888831,29.776245 59.9888677,29.7763392 59.9889856,29.7764308 59.9889673,29.7765747 59.9891473,29.7766235 59.9892085,29.7766829 59.9891966,29.7769557 59.98956,29.7751234 59.9899106,29.7737194 59.988127,29.7745949 59.9879551))",19532.032088801265,,375
1806807,3,"POLYGON((30.3440836 59.9103898,30.3454506 59.9101493,30.3456917 59.9101067,30.3459381 59.9100631,30.3461904 59.9100173,30.3463069 59.9099973,30.3464271 59.9099767,30.3466557 59.9099376,30.346687 59.9099322,30.3466915 59.9099389,30.3467083 59.909936,30.3467972 59.9099207,30.3468521 59.9100013,30.3468858 59.9100516,30.3469328 59.9101218,30.3470263 59.9102614,30.34708 59.9103415,30.3471153 59.9103942,30.3471556 59.9104549,30.3472819 59.9106452,30.3472916 59.9106597,30.3474051 59.9108307,30.347448 59.9108953,30.3479588 59.9116758,30.348153 59.9119922,30.3481247 59.9120238,30.3459958 59.912372,30.345618 59.9124397,30.3447652 59.9112976,30.3440836 59.9103898,30.3456577 59.9111698,30.3457826 59.9111575,30.3466754 59.9110145,30.3469145 59.9109726,30.3463382 59.9101737,30.3461219 59.9101798,30.3453646 59.9103065,30.345158 59.9103424,30.3452387 59.9104616,30.3452079 59.9104888,30.3454801 59.9109027,30.3456205 59.9111139,30.3456577 59.9111698,30.3440836 59.9103898))",31180.121361088008,,1520
1815236,3,"POLYGON((30.2835522 59.9117621,30.2833316 59.9117533,30.2822656 59.9117202,30.2820592 59.9117137,30.2821856 59.9114696,30.2822639 59.911324,30.2823833 59.9113292,30.2824012 59.9112289,30.282279 59.9112244,30.2823195 59.9111096,30.2826818 59.9111238,30.2833156 59.9111404,30.2836011 59.9111468,30.2840206 59.9111575,30.2841913 59.911162,30.2842518 59.9111646,30.2843466 59.9111668,30.28516 59.9111981,30.285522 59.9112112,30.2859749 59.9112267,30.2861405 59.9112328,30.2865126 59.9112431,30.2866263 59.9112461,30.2864868 59.9113214,30.2859107 59.9117126,30.2857436 59.9118267,30.2854194 59.9118182,30.2853364 59.9118148,30.2841685 59.9117773,30.2839091 59.9117712,30.2835522 59.9117621))",15062.599546715615,,220
1836458,3,"POLYGON((30.2858845 59.9138627,30.285886 59.9138361,30.2859024 59.9137023,30.2860887 59.9137076,30.2861616 59.9137097,30.2862347 59.9137121,30.2863953 59.9137174,30.2863831 59.9138537,30.2863809 59.9138791,30.286376 59.9139345,30.2863652 59.9140524,30.2863343 59.9144024,30.2863282 59.9144678,30.2863208 59.9145393,30.2863154 59.9146156,30.286313 59.9146418,30.2862719 59.9151039,30.2862537 59.9153087,30.2862568 59.9153597,30.2862652 59.9154056,30.286285 59.9155338,30.2862924 59.91558,30.2863043 59.9157225,30.2855086 59.9157532,30.2854728 59.9154666,30.2854704 59.9154529,30.2854666 59.9154163,30.2854152 59.9150363,30.285379 59.9147407,30.2853424 59.9145585,30.2857935 59.9145534,30.285802 59.9144819,30.2858149 59.9143842,30.2858831 59.9138711,30.2858845 59.9138627))",8991.535700901644,,274
1861838,3,"POLYGON((30.2910527 60.0171205,30.2907213 60.0168789,30.2908095 60.0168228,30.2906242 60.0167157,30.2906171 60.0166828,30.2905651 60.0166466,30.29107 60.0164533,30.2911455 60.0164517,30.2912999 60.0165652,30.2912696 60.0166212,30.2916488 60.0168831,30.2910527 60.0171205))",2348.272951037623,,131
1861839,3,"POLYGON((30.2922537 60.0166961,30.2916426 60.0162735,30.2923495 60.0160269,30.2929768 60.0164566,30.2922537 60.0166961))",2828.4607933163643,,112
1861841,3,"POLYGON((30.2935474 60.0162558,30.2929768 60.0164566,30.2923495 60.0160269,30.2925765 60.0159348,30.2929916 60.015825,30.2935474 60.0162558))",2402.525972604752,,75
1895512,3,"POLYGON((30.2820669 59.9133789,30.2801642 59.9133129,30.2782994 59.9132485,30.2781765 59.9130316,30.2780871 59.9130441,30.2780041 59.912893,30.2783623 59.9128399,30.2786083 59.9129389,30.2794741 59.9128583,30.2793629 59.9125334,30.2794463 59.9125274,30.2794757 59.9125274,30.2798908 59.9125277,30.2799257 59.9125273,30.279935 59.9124794,30.2799508 59.9123943,30.2799557 59.9123708,30.2799699 59.9122404,30.2799956 59.9121211,30.2800146 59.9119898,30.2800506 59.9118225,30.280775 59.9118376,30.2819381 59.9118793,30.2819375 59.9118851,30.2819172 59.9120435,30.2818475 59.91261,30.2822116 59.9126239,30.2822033 59.9126683,30.2821915 59.9127312,30.2821588 59.9128905,30.2821569 59.9128997,30.282155 59.9129089,30.2821447 59.9129589,30.2821432 59.9129662,30.2821102 59.9131269,30.2820958 59.9132116,30.2820674 59.9133765,30.2820669 59.9133789))",24582.53152967454,,2683
1898984,3,"POLYGON((30.2816514 59.9141501,30.2813339 59.914142,30.2807949 59.9141235,30.2808049 59.9140488,30.2808129 59.9139882,30.2808712 59.9135394,30.2810011 59.9135432,30.2810918 59.9135459,30.2812271 59.9135498,30.2813253 59.9135527,30.2815704 59.91356,30.2817601 59.9135656,30.2818033 59.9135669,30.2819541 59.9135712,30.2820366 59.9135736,30.282152 59.9135769,30.2826131 59.9135908,30.2831744 59.9136069,30.2832301 59.9136521,30.2832658 59.913682,30.2830351 59.9141154,30.2829467 59.9141983,30.2828984 59.9141974,30.2816514 59.9141501))",8494.229806500487,,361
1906654,3,"POLYGON((30.2786646 59.9102917,30.2787085 59.9103659,30.278769 59.9104679,30.2788832 59.9107432,30.2790456 59.9110469,30.2790639 59.9110446,30.2791049 59.9111134,30.2791344 59.9111277,30.2791456 59.9112041,30.2790065 59.9112086,30.2790664 59.9116162,30.2790666 59.9116183,30.2767811 59.9115457,30.276352 59.9107972,30.27626 59.9106358,30.2763331 59.9106254,30.2769119 59.9105373,30.277139 59.9105029,30.2779248 59.9103968,30.2782639 59.9103486,30.2786646 59.9102917))",17420.01654401039,,675
1927071,3,"POLYGON((30.3723875 59.9764477,30.3728212 59.9769184,30.3722808 59.9771384,30.3712285 59.9774122,30.3709743 59.9771437,30.3709024 59.9771137,30.3708098 59.9771225,30.3707346 59.9770837,30.3705463 59.9768855,30.370667 59.9768578,30.3723875 59.9764477))",7161.348573729396,,187
