id,Lat,Lon,Coordinates,area,population
relation/1206084,55.87699690561798,37.674463053932584,"[(55.8749535, 37.6673492), (55.874883, 37.6673201), (55.8748296, 37.6673258), (55.8747667, 37.6677167), (55.8741714, 37.6714836), (55.8741371, 37.6716994), (55.8740774, 37.6720735), (55.8740211, 37.6724438), (55.8739837, 37.6726727), (55.8739252, 37.6730628), (55.873831, 37.6739019), (55.87377, 37.674761), (55.873799, 37.6748128), (55.8747554, 37.6752337), (55.8748848, 37.6753617), (55.8754239, 37.6760998), (55.8758491, 37.6767094), (55.8767153, 37.6783487), (55.87685, 37.6786987), (55.8770018, 37.6791337), (55.8770867, 37.6793733), (55.8773494, 37.6801291), (55.8774539, 37.6800629), (55.8774889, 37.6802533), (55.8796686, 37.679099), (55.8810468, 37.6783312), (55.8811683, 37.6782446), (55.8812567, 37.6781657), (55.8813552, 37.6780551), (55.8815601, 37.6777307), (55.8820163, 37.6769229), (55.8821249, 37.6767352), (55.8826311, 37.6759288), (55.8826621, 37.675816), (55.8826577, 37.6756978), (55.8820915, 37.6742836), (55.8817699, 37.6737771), (55.8812101, 37.6749693), (55.8811363, 37.6751352), (55.8809283, 37.675645), (55.8808545, 37.6758109), (55.8806854, 37.6761561), (55.8811353, 37.6768274), (55.8806522, 37.6778242), (55.880778, 37.678221), (55.8796566, 37.6788806), (55.8796163, 37.6789037), (55.8795273, 37.6789509), (55.8786127, 37.6776454), (55.8779403, 37.6766858), (55.877832, 37.6761989), (55.8777476, 37.6757599), (55.8779019, 37.6753753), (55.8767463, 37.6736882), (55.8764394, 37.6742622), (55.8764059, 37.6742963), (55.876311, 37.6738025), (55.8759641, 37.6735017), (55.8768446, 37.6719734), (55.876986, 37.6717066), (55.8770513, 37.6712499), (55.8768367, 37.6716929), (55.8761369, 37.6728114), (55.8755653, 37.6736362), (55.8750375, 37.6734998), (55.8748157, 37.6734424), (55.8747835, 37.6736873), (55.8749754, 37.6737729), (55.8748929, 37.6743374), (55.874843, 37.6746214), (55.8746894, 37.6749773), (55.8745954, 37.6749225), (55.8745539, 37.6750387), (55.8739417, 37.6747952), (55.8738218, 37.6745378), (55.8738673, 37.6739009), (55.8740915, 37.6724822), (55.8741973, 37.6718129), (55.8750032, 37.6723096), (55.8749648, 37.672484), (55.8751725, 37.6725913), (55.875259, 37.6721297), (55.8750545, 37.6720204), (55.8749753, 37.6718472), (55.8742061, 37.6714604), (55.8748122, 37.6677273), (55.8748233, 37.6676849), (55.8748745, 37.6673529), (55.8749535, 37.6673492)]",146782.78173400369,3739
relation/1206086,55.872603636363635,37.68077313636364,"[(55.8740276, 37.6786098), (55.8728788, 37.6777199), (55.8718391, 37.6769224), (55.8713157, 37.6765287), (55.8709332, 37.6762537), (55.8707848, 37.67618), (55.8701636, 37.6804737), (55.8701279, 37.6807261), (55.8701206, 37.6808123), (55.8701279, 37.6808733), (55.8701489, 37.6809265), (55.8711783, 37.6824947), (55.8723547, 37.6842909), (55.8723755, 37.6842963), (55.872401, 37.6842663), (55.8729883, 37.6830235), (55.873034, 37.6828794), (55.8731298, 37.6825439), (55.8731592, 37.6823697), (55.8731835, 37.6822457), (55.8742248, 37.6819512), (55.8741979, 37.6817316), (55.8740613, 37.6805035), (55.8737729, 37.6805969), (55.8736691, 37.6804571), (55.8736368, 37.68027), (55.8739935, 37.678754), (55.8740276, 37.6786098), (55.8736698, 37.6813977), (55.8737394, 37.6819367), (55.8734189, 37.682032), (55.8735658, 37.6814385), (55.8736698, 37.6813977)]",136758.77363019437,2070
relation/1236326,55.8056412,37.643194959999995,"[(55.8050172, 37.6445047), (55.8051196, 37.644528), (55.8066125, 37.644793), (55.8066745, 37.6447957), (55.8067432, 37.6432017), (55.8066875, 37.6418064), (55.8065357, 37.6417864), (55.8054175, 37.6416396), (55.8052946, 37.6416188), (55.8051718, 37.641598), (55.8051644, 37.6417377), (55.805073, 37.6434321), (55.8050672, 37.6435658), (55.8050221, 37.6444118), (55.8050172, 37.6445047)]",33483.67948041996,1307
relation/1244898,55.865066884210535,37.669840742105265,"[(55.8670599, 37.6634489), (55.8648014, 37.6623013), (55.8647376, 37.6623748), (55.8641526, 37.6661039), (55.8635042, 37.6700245), (55.8634794, 37.6702407), (55.8633014, 37.6743428), (55.8633144, 37.674426), (55.8653722, 37.6748601), (55.865424, 37.6747862), (55.8654917, 37.6732863), (55.8661477, 37.6690378), (55.8670599, 37.6634489), (55.8657137, 37.6712651), (55.8655973, 37.6720157), (55.8649474, 37.6716959), (55.8650638, 37.6709451), (55.8653885, 37.671105), (55.8657137, 37.6712651)]",193370.21927914768,3814
relation/1246061,55.85225422333333,37.65386345,"[(55.8534412, 37.6493345), (55.8534174, 37.6493133), (55.8533871, 37.6493264), (55.8525241, 37.6503038), (55.8517092, 37.651112), (55.8495234, 37.6535457), (55.8495115, 37.6535929), (55.8495183, 37.6537182), (55.8509345, 37.657891), (55.8509597, 37.6579702), (55.8509951, 37.6579788), (55.8510276, 37.6579745), (55.8538727, 37.6560805), (55.8558109, 37.6548403), (55.8558958, 37.6547109), (55.8559613, 37.6545508), (55.8559851, 37.6544827), (55.8547138, 37.6518836), (55.8534412, 37.6493345), (55.8511148, 37.6543042), (55.851436, 37.6539815), (55.8514621, 37.6540641), (55.8514917, 37.6541576), (55.8515423, 37.6543173), (55.8515698, 37.6544042), (55.8515985, 37.6544947), (55.8512773, 37.6548174), (55.8512486, 37.6547269), (55.8511409, 37.6543868), (55.8511148, 37.6543042)]",207993.68418839155,4760
relation/1246062,55.860498292592595,37.677958455555554,"[(55.8611886, 37.6801241), (55.8611738, 37.6802259), (55.8612051, 37.6802918), (55.8614226, 37.6805173), (55.8615058, 37.6804972), (55.8615736, 37.6803722), (55.8620403, 37.6809972), (55.862078, 37.6811307), (55.8622055, 37.6813012), (55.8622267, 37.6813124), (55.8622849, 37.6812881), (55.8627242, 37.6811086), (55.8628288, 37.681111), (55.8629123, 37.6811515), (55.8630041, 37.6812749), (55.8635102, 37.6820685), (55.8635682, 37.6821239), (55.8636293, 37.6820825), (55.8645102, 37.680263), (55.8645042, 37.6801721), (55.8606548, 37.6742708), (55.8605705, 37.6741593), (55.8604874, 37.6741074), (55.8601216, 37.6740758), (55.8597037, 37.6740398), (55.8591185, 37.6738741), (55.8569371, 37.6731416), (55.8562016, 37.6727859), (55.8564643, 37.6734361), (55.8567261, 37.6737266), (55.8571275, 37.6743318), (55.8577023, 37.6750931), (55.8589316, 37.6767529), (55.859026, 37.6765524), (55.8594246, 37.67713), (55.8595399, 37.6767995), (55.8598356, 37.6771802), (55.8595532, 37.6779243), (55.8596391, 37.6780294), (55.8603969, 37.6790321), (55.8604558, 37.6790796), (55.8607036, 37.6793745), (55.8606886, 37.6794146), (55.8608438, 37.6795993), (55.8608816, 37.6796425), (55.8612201, 37.6800385), (55.8611886, 37.6801241), (55.8589109, 37.6755181), (55.858825, 37.675483), (55.8588939, 37.6749471), (55.8589199, 37.6747443), (55.8591507, 37.6748385), (55.8590557, 37.6755772), (55.8589109, 37.6755181)]",174537.3109174515,4030
relation/1256019,55.856005368292685,37.65912292439024,"[(55.8571277, 37.6568887), (55.856643, 37.6567505), (55.856707, 37.6560645), (55.8557191, 37.6557713), (55.8556868, 37.6557617), (55.8556674, 37.6552214), (55.854852, 37.6557177), (55.8539033, 37.6563148), (55.8524932, 37.657222), (55.852819, 37.6582063), (55.8537004, 37.6607272), (55.8545179, 37.6630455), (55.8546257, 37.6631601), (55.8551532, 37.663339), (55.8551089, 37.663774), (55.8551092, 37.6638587), (55.8551396, 37.6638945), (55.8551774, 37.6638685), (55.8557435, 37.662961), (55.8559064, 37.6627259), (55.8563785, 37.6620738), (55.8567828, 37.6615386), (55.8567578, 37.6609453), (55.8568106, 37.6603656), (55.8568748, 37.6596929), (55.8569138, 37.6592868), (55.8569843, 37.6585729), (55.8570198, 37.6582242), (55.8570434, 37.6579901), (55.85712, 37.6571758), (55.8571247, 37.6570014), (55.8571277, 37.6568887), (55.8567647, 37.6574417), (55.8567756, 37.6574183), (55.8567933, 37.6574153), (55.8568453, 37.6575456), (55.8569515, 37.6578179), (55.8569461, 37.6578869), (55.8569305, 37.6580523), (55.8567095, 37.6579908), (55.8567647, 37.6574417)]",166275.9206547849,2454
relation/1256831,55.879241525,37.64966696785714,"[(55.8781535, 37.6455787), (55.8777626, 37.6454615), (55.8777431, 37.6454556), (55.8777592, 37.645019), (55.8777217, 37.645098), (55.8777033, 37.6451746), (55.8775102, 37.6468027), (55.8774037, 37.6477006), (55.8773473, 37.6482519), (55.8771345, 37.6503329), (55.8769923, 37.6519875), (55.87686, 37.6533147), (55.8768925, 37.6533851), (55.8769485, 37.6534209), (55.8779947, 37.6540897), (55.8793538, 37.6551218), (55.8800442, 37.6556592), (55.8804016, 37.6559366), (55.8807052, 37.6560738), (55.8810969, 37.6561447), (55.8815581, 37.6560914), (55.8815978, 37.6559953), (55.8815235, 37.6551548), (55.881289, 37.6524942), (55.8812792, 37.6524039), (55.8809147, 37.6490411), (55.8808014, 37.6485071), (55.8806765, 37.6479534), (55.88055, 37.6475274), (55.8803137, 37.6469198), (55.8799044, 37.6462224), (55.8795717, 37.6457935), (55.879315, 37.645525), (55.8790755, 37.645369), (55.8786343, 37.6451783), (55.8782265, 37.6450551), (55.8781535, 37.6455787), (55.8793938, 37.6483425), (55.8792988, 37.6482503), (55.8792039, 37.6481118), (55.8793616, 37.647347), (55.8794284, 37.6473933), (55.8795168, 37.6475164), (55.8795217, 37.6475682), (55.8796863, 37.6478251), (55.8797239, 37.6478164), (55.8797802, 37.6480532), (55.8802077, 37.6477051), (55.8802421, 37.6478446), (55.8794282, 37.648482), (55.8793938, 37.6483425), (55.8796583, 37.654164), (55.8796161, 37.654353), (55.8787248, 37.65372), (55.8787671, 37.6535309), (55.8796583, 37.654164)]",220097.4396476429,4538
relation/1277110,55.77864820877193,37.58222446315789,"[(55.7781471, 37.5821242), (55.7781366, 37.5821458), (55.7781257, 37.5821685), (55.7782185, 37.5823045), (55.7782475, 37.5823461), (55.778334, 37.5824725), (55.7783746, 37.5825292), (55.778441, 37.5826322), (55.7786782, 37.5829838), (55.7786719, 37.5829958), (55.7788178, 37.5832254), (55.7788244, 37.5832182), (55.778863, 37.5832696), (55.7789166, 37.5831353), (55.7789386, 37.5831655), (55.7789861, 37.5830567), (55.7790359, 37.5829425), (55.7791301, 37.5827291), (55.7792839, 37.5823995), (55.7793557, 37.5825103), (55.7794148, 37.5823892), (55.7794317, 37.5823545), (55.7794055, 37.5823137), (55.7793832, 37.582279), (55.7791869, 37.5819737), (55.7791242, 37.5818764), (55.7788945, 37.5815102), (55.7788773, 37.5814854), (55.7788587, 37.5814663), (55.7788353, 37.5814583), (55.7788137, 37.5814601), (55.7787918, 37.5814707), (55.7787736, 37.5814863), (55.7787545, 37.5815108), (55.7786718, 37.5817085), (55.7785942, 37.5818709), (55.7785881, 37.5818617), (55.7785756, 37.5818879), (55.7785817, 37.5818971), (55.7784945, 37.5820803), (55.7784838, 37.582062), (55.7784687, 37.5820895), (55.7784527, 37.5821142), (55.7784358, 37.5821375), (55.7784098, 37.5821623), (55.7783819, 37.5821765), (55.7783587, 37.582182), (55.7783353, 37.5821819), (55.7783124, 37.5821781), (55.7782892, 37.5821666), (55.7782625, 37.5821446), (55.7782391, 37.582118), (55.7782217, 37.5820962), (55.778202, 37.5820701), (55.7781849, 37.582046), (55.7781835, 37.582049), (55.7781471, 37.5821242)]",7429.301148842176,28
relation/1277556,55.78234765217391,37.58500804492754,"[(55.7828007, 37.5851526), (55.7828498, 37.5848568), (55.7829184, 37.5848896), (55.782923, 37.5848603), (55.7829359, 37.5847768), (55.7829396, 37.5847549), (55.7828622, 37.5847175), (55.7828509, 37.5847146), (55.7828427, 37.5847185), (55.782835, 37.5847281), (55.7828307, 37.5847445), (55.782828, 37.584763), (55.7828163, 37.584841), (55.7827897, 37.5848287), (55.782769, 37.5848191), (55.7827736, 37.5847872), (55.7827792, 37.5847484), (55.7827805, 37.5847319), (55.7827806, 37.5847177), (55.7827793, 37.5847039), (55.782777, 37.5846911), (55.7827739, 37.5846803), (55.7827705, 37.584671), (55.7827641, 37.5846623), (55.7827572, 37.5846571), (55.7818228, 37.5841954), (55.7818128, 37.5841922), (55.7818023, 37.5841912), (55.7817935, 37.5841925), (55.7817846, 37.5841965), (55.7817717, 37.5842057), (55.7817594, 37.5842214), (55.7817523, 37.5842359), (55.7817468, 37.584259), (55.7817344, 37.584341), (55.7816885, 37.5843212), (55.7816259, 37.5847372), (55.7816232, 37.5847547), (55.781617, 37.5847939), (55.781571, 37.5851066), (55.7815665, 37.5851371), (55.7815907, 37.5851471), (55.7816313, 37.5851638), (55.7817067, 37.5851949), (55.7819114, 37.5852804), (55.7818971, 37.5853813), (55.7824673, 37.5856388), (55.7825094, 37.5856561), (55.7825032, 37.5857039), (55.782461, 37.585686), (55.7824575, 37.5857122), (55.781885, 37.5854665), (55.7818824, 37.5854848), (55.7816796, 37.5854002), (55.7816572, 37.5855584), (55.7817593, 37.5855971), (55.7818612, 37.5856347), (55.782606, 37.5858641), (55.7826089, 37.5858478), (55.7826122, 37.5858204), (55.7825894, 37.5858118), (55.7825839, 37.5857478), (55.7825994, 37.5857011), (55.7826699, 37.5855529), (55.7826905, 37.5855782), (55.7827316, 37.5856199), (55.7827809, 37.5856734), (55.7828538, 37.5851805), (55.7828007, 37.5851526)]",9923.449652201496,74
